Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
1600,0.467,0.0667,930,1.20,,,,,,,0.933,1.07,,,,,,
1605,0.400,0.0667,925,1.000,,,,,,,1.00,1.00,,,,,,
1610,0.467,0.0667,925,1.00,,,,,,,0.933,0.933,,,,,,
1615,0.533,0.0667,924,0.933,,,,,,,1.00,0.933,,,,,,
1620,0.533,0.0667,917,0.933,,,,,,,1.00,0.933,,,,,,
1625,0.533,0.133,919,0.933,,,,,,,1.00,1.000,,,,,,
1630,0.467,0.133,906,1.00,,,,,,,1.07,0.933,,,,,,
1635,0.467,0.133,910,1.00,,,,,,,0.933,1.00,,,,,,
1640,0.467,0.0667,899,1.000,,,,,,,1.07,0.933,,,,,,
1645,0.533,0.0667,900,1.00,,,,,,,1.00,1.000,,,,,,
1650,0.533,0.0667,894,0.933,,,,,,,1.00,0.933,,,,,,
1655,0.600,0.0667,894,0.867,,,,,,,0.933,1.000,,,,,,
1660,0.533,0.0667,892,0.933,,,,,,,0.867,0.933,,,,,,
1665,0.533,0.0667,889,1.00,,,,,,,1.00,1.00,,,,,,
1670,0.400,0.0667,887,1.07,,,,,,,1.13,1.07,,,,,,
1675,0.467,0,888,0.933,,,,,,,1.13,1.13,,,,,,
1680,0.467,0.0667,887,1.00,,,,,,,1.13,1.13,,,,,,
1685,0.533,0.0667,882,0.867,,,,,,,0.933,1.00,,,,,,
1690,0.467,0.133,877,1.00,,,,,,,1.00,1.00,,,,,,
1695,0.467,0.0667,874,0.867,,,,,,,0.933,1.00,,,,,,
1700,0.467,0.133,874,1.07,,,,,,,1.000,1.000,,,,,,
1705,0.533,0.0667,867,0.933,,,,,,,1.00,1.00,,,,,,
1710,0.533,0.133,865,1.13,,,,,,,1.00,1.00,,,,,,
1715,0.467,0.133,862,1.07,,,,,,,1.00,1.07,,,,,,
1720,0.467,0.133,866,1.07,,,,,,,1.07,1.00,,,,,,
1725,0.400,0.0667,857,0.933,,,,,,,1.07,1.000,,,,,,
1730,0.467,0.0667,857,0.933,,,,,,,1.000,0.933,,,,,,
1735,0.400,0.0667,840,1.00,,,,,,,0.933,1.00,,,,,,
1740,0.533,0.0667,830,1.00,,,,,,,1.000,1.00,,,,,,
1745,0.467,0.0667,808,1.000,,,,,,,1.07,1.00,,,,,,
1750,0.533,0.0667,798,1.07,,,,,,,1.07,1.07,,,,,,
1755,0.467,0.0667,799,1.00,,,,,,,1.00,1.07,,,,,,
1760,0.467,0.0667,813,1.00,,,,,,,1.00,1.07,,,,,,
1765,0.467,0.133,825,1.00,,,,,,,1.000,0.933,,,,,,
1770,0.400,0.133,834,1.000,,,,,,,1.00,1.00,,,,,,
1775,0.467,0.133,832,1.00,,,,,,,1.00,1.00,,,,,,
1780,0.467,0.0667,832,0.933,,,,,,,1.00,1.00,,,,,,
1785,0.467,0.0667,646,0.933,,,,,,,0.933,0.867,,,,,,
1790,0.400,0.0667,371,0.933,,,,,,,1.000,0.933,,,,,,
1795,0.267,0.0667,96.0,0.800,,,,,,,0.933,1.00,,,,,,
1800,0.333,0.1000,1.47,0.867,,,,,,,0.933,1.00,,,,,,
1805,0.333,0,1.27,0.551,,,,,,,0.645,0.652,,,,,,
1810,0.333,0.200,1.30,0.439,,,,,,,0.445,0.380,,,,,,
