"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 10:23:25,0.333,32.1,87.5,36.0,,,,,,,35.7,36.6,,,,,,
2026-04-20 10:23:30,0.400,33.4,91.3,37.6,,,,,,,37.5,38.3,,,,,,
2026-04-20 10:23:35,0.400,34.2,95.3,39.1,,,,,,,39.1,39.5,,,,,,
2026-04-20 10:23:40,0.400,34.5,97.2,39.8,,,,,,,40,39.9,,,,,,
2026-04-20 10:23:45,0.333,34.5,97.5,40,,,,,,,40.1,40,,,,,,
2026-04-20 10:23:50,0.333,34.5,97.1,40,,,,,,,40.1,39.9,,,,,,
2026-04-20 10:23:55,0.333,34.3,97.2,40,,,,,,,40.1,40,,,,,,
2026-04-20 10:24:00,0.400,34.7,96.9,40,,,,,,,40.1,40.3,,,,,,
2026-04-20 10:24:05,0.400,36.6,100,41.8,,,,,,,41.7,43.0,,,,,,
2026-04-20 10:24:10,0.333,38.7,106,44.2,,,,,,,44.0,44.8,,,,,,
2026-04-20 10:24:15,0.333,40.7,112,46.4,,,,,,,46.3,46.9,,,,,,
2026-04-20 10:24:20,0.400,41.2,116,47.8,,,,,,,47.8,47.3,,,,,,
2026-04-20 10:24:25,0.400,41.4,116,47.5,,,,,,,47.5,47.4,,,,,,
2026-04-20 10:24:30,0.400,41.5,117,47.7,,,,,,,47.6,48.1,,,,,,
2026-04-20 10:24:35,0.333,41.3,117,47.7,,,,,,,47.5,47.3,,,,,,
2026-04-20 10:24:40,0.400,41.4,116,47.7,,,,,,,47.4,47.7,,,,,,
2026-04-20 10:24:45,0.333,48.8,121,52.6,,,,,,,51.5,54.7,,,,,,
2026-04-20 10:24:50,0.467,59.9,145,62.6,,,,,,,61.3,66.7,,,,,,
2026-04-20 10:24:55,0.467,71.7,175,75.5,,,,,,,74.7,79.1,,,,,,
2026-04-20 10:25:00,0.600,76.3,200,84.3,,,,,,,84.3,85,,,,,,
2026-04-20 10:25:05,0.467,77.5,205,86.1,,,,,,,86.1,85.4,,,,,,
2026-04-20 10:25:10,0.533,77.7,204,85.9,,,,,,,86.1,86.1,,,,,,
2026-04-20 10:25:15,0.533,77.7,204,85.5,,,,,,,84.9,85.9,,,,,,
2026-04-20 10:25:20,0.600,77.7,205,85.9,,,,,,,86.1,85.9,,,,,,
2026-04-20 10:25:25,0.533,77.7,205,86.4,,,,,,,86.5,86.1,,,,,,
2026-04-20 10:25:30,0.533,77.7,206,86.9,,,,,,,87.9,87.4,,,,,,
2026-04-20 10:25:35,0.467,77.4,207,87.5,,,,,,,88.1,87.5,,,,,,
2026-04-20 10:25:40,0.533,77.3,208,88.0,,,,,,,88.1,87.7,,,,,,
2026-04-20 10:25:45,0.600,77.3,207,87.1,,,,,,,87.0,87.0,,,,,,
2026-04-20 10:25:50,0.600,77.6,208,87.9,,,,,,,87.5,87.4,,,,,,
2026-04-20 10:25:55,0.600,77.4,207,87.7,,,,,,,87.7,87.5,,,,,,
2026-04-20 10:26:00,0.533,77.5,207,87.9,,,,,,,88.3,86.3,,,,,,
2026-04-20 10:26:05,0.533,76.9,207,87.7,,,,,,,88.3,87.7,,,,,,
2026-04-20 10:26:10,0.533,77.1,207,87.9,,,,,,,87.0,87.9,,,,,,
2026-04-20 10:26:15,0.467,76.9,207,88.1,,,,,,,88.5,88.4,,,,,,
2026-04-20 10:26:20,0.533,77.2,208,88.9,,,,,,,89.1,89.4,,,,,,
2026-04-20 10:26:25,0.467,77.2,209,88.2,,,,,,,89.7,90,,,,,,
2026-04-20 10:26:30,0.533,77.3,210,89.7,,,,,,,89.7,90.1,,,,,,
2026-04-20 10:26:35,0.533,77.2,211,89.7,,,,,,,89.7,90.1,,,,,,
2026-04-20 10:26:40,0.533,76.7,212,91.5,,,,,,,91.7,92.0,,,,,,
2026-04-20 10:26:45,0.533,76.5,213,93.2,,,,,,,93.4,92.9,,,,,,
2026-04-20 10:26:50,0.467,76.5,210,92.1,,,,,,,92.6,91.8,,,,,,
2026-04-20 10:26:55,0.467,76.9,208,89.7,,,,,,,89.9,87.7,,,,,,
2026-04-20 10:27:00,0.467,77.3,206,87.6,,,,,,,87.7,87.7,,,,,,
2026-04-20 10:27:05,0.467,77.1,206,88.2,,,,,,,87.5,88.1,,,,,,
2026-04-20 10:27:10,0.533,77.3,206,88.1,,,,,,,88.0,88.1,,,,,,
2026-04-20 10:27:15,0.533,77.2,207,88.7,,,,,,,88.7,88.4,,,,,,
2026-04-20 10:27:20,0.533,77.3,207,87.2,,,,,,,87.5,88.5,,,,,,
2026-04-20 10:27:25,0.533,77.1,208,89.1,,,,,,,89.0,88.6,,,,,,
2026-04-20 10:27:30,0.533,77.1,208,89.1,,,,,,,89.0,88.9,,,,,,
2026-04-20 10:27:35,0.600,77.2,208,89.1,,,,,,,89.1,89.3,,,,,,
2026-04-20 10:27:40,0.533,65.3,202,82.7,,,,,,,83.7,77.8,,,,,,
2026-04-20 10:27:45,0.467,44.4,162,62.6,,,,,,,64.3,53.7,,,,,,
2026-04-20 10:27:50,0.333,18.7,95,34.4,,,,,,,36.2,23.7,,,,,,
2026-04-20 10:27:55,0.333,4.93,31.5,10.9,,,,,,,11.8,7.20,,,,,,
2026-04-20 10:28:00,0.267,0.0667,2.67,1.07,,,,,,,1.00,1.00,,,,,,
2026-04-20 10:28:05,0.333,0.667,1.20,0.933,,,,,,,1.00,1.00,,,,,,
