Time,orderer.dwntp.com:8443,peer0.org1.dwntp.com:9443,peer1.org1.dwntp.com:9443,peer10.org1.dwntp.com:9443,peer11.org1.dwntp.com:9443,peer12.org1.dwntp.com:9443,peer13.org1.dwntp.com:9443,peer14.org1.dwntp.com:9443,peer15.org1.dwntp.com:9443,peer2.org1.dwntp.com:9443,peer3.org1.dwntp.com:9443,peer4.org1.dwntp.com:9443,peer5.org1.dwntp.com:9443,peer6.org1.dwntp.com:9443,peer7.org1.dwntp.com:9443,peer8.org1.dwntp.com:9443,peer9.org1.dwntp.com:9443
390,6.86 K,6.75 K,6.68 K,,,,,,,6.81 K,6.72 K,6.66 K,6.81 K,6.77 K,6.86 K,,
395,7.14 K,7.02 K,6.95 K,,,,,,,7.08 K,6.99 K,6.93 K,7.09 K,7.05 K,7.14 K,,
400,7.42 K,7.30 K,7.23 K,,,,,,,7.36 K,7.27 K,7.21 K,7.37 K,7.33 K,7.42 K,,
405,7.70 K,7.58 K,7.51 K,,,,,,,7.65 K,7.55 K,7.49 K,7.65 K,7.61 K,7.70 K,,
410,7.98 K,7.86 K,7.79 K,,,,,,,7.92 K,7.83 K,7.77 K,7.93 K,7.89 K,7.98 K,,
415,8.28 K,8.14 K,8.07 K,,,,,,,8.21 K,8.11 K,8.05 K,8.22 K,8.17 K,8.27 K,,
420,8.60 K,8.46 K,8.38 K,,,,,,,8.53 K,8.43 K,8.36 K,8.53 K,8.49 K,8.59 K,,
425,8.93 K,8.78 K,8.70 K,,,,,,,8.86 K,8.75 K,8.68 K,8.87 K,8.81 K,8.92 K,,
430,9.28 K,9.13 K,9.04 K,,,,,,,9.20 K,9.10 K,9.02 K,9.21 K,9.16 K,9.27 K,,
435,9.65 K,9.47 K,9.39 K,,,,,,,9.57 K,9.45 K,9.37 K,9.58 K,9.52 K,9.65 K,,
440,10.0 K,9.84 K,9.78 K,,,,,,,9.95 K,9.83 K,9.75 K,9.95 K,9.90 K,10.0 K,,
445,10.4 K,10.2 K,10.2 K,,,,,,,10.3 K,10.2 K,10.1 K,10.3 K,10.3 K,10.4 K,,
450,10.8 K,10.5 K,10.5 K,,,,,,,10.7 K,10.6 K,10.5 K,10.7 K,10.6 K,10.8 K,,
455,11.1 K,10.9 K,10.9 K,,,,,,,11.1 K,10.9 K,10.9 K,11.1 K,11.0 K,11.1 K,,
460,11.5 K,11.3 K,11.3 K,,,,,,,11.4 K,11.3 K,11.2 K,11.4 K,11.4 K,11.5 K,,
465,11.9 K,11.7 K,11.6 K,,,,,,,11.8 K,11.7 K,11.6 K,11.8 K,11.8 K,11.9 K,,
470,12.3 K,12.1 K,12.0 K,,,,,,,12.2 K,12.1 K,12.0 K,12.2 K,12.1 K,12.3 K,,
