Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
7041,425,417,363
7046,507,507,427
7051,344,379,434
7056,276,285,439
7061,331,331,425
7066,425,425,418
7071,386,386,378
7076,344,344,334
7081,241,241,225
7086,138,138,120
7091,34.6,34.8,21.3
7096,0,0,0.0208
7101,0,0,0
7106,0,0,0
7111,0,0,0
7116,0,0,0
7121,0,0,0
7126,0,0,0
7131,0,0,0.758
7136,55.5,55.5,74.0
7141,158,158,159
7146,167,167,166
7151,111,111,92.6
7156,8.27,8.33,7.21
7161,11.1,11,33.4
7166,119,118,136
7171,169,169,192
7176,282,282,284
7181,317,318,316
7186,331,331,307
7191,207,207,182
7196,64,64,48.7
7201,0,0,0.346
7206,0,0,0
7211,0,0,0
7216,0,0,0
7221,0,0,0
7226,0,0,0
7231,0,0,0
7236,0,0,0
7241,0,0,0
7246,0,0,0
7251,0.800,0,0
7256,1.67,0,0
7261,2.53,0.133,0
7266,2.60,0.333,0
7271,3.33,0.467,0
7276,4.27,0.467,0
7281,6.27,0.400,0
7286,8.20,0.267,0
7291,9.93,0.133,0
7296,10.7,0,0
7301,11,0,0
7306,11.1,0,0
7311,11.3,0,0
7316,11.5,0,0
7321,11.8,0,0
7326,12.1,0,0
7331,12.3,0,0
7336,12.5,0,0
7341,12.7,0,0
7346,12.9,0,0
7351,13.3,0,0
7356,13.5,0,0
7361,13.9,0,0
7366,14.3,0,0
7371,14.7,0,0
7376,15.1,0,0
7381,15.4,0,0
7386,15.7,0,0
7391,16.3,0,0
7396,16.6,0,0
7401,17.2,0,0
7406,17.5,0,0
7411,18.1,0,0
7416,18.7,0,0
7421,19.3,0,0
7426,19.9,0,0
7431,20.7,0,0
7436,21.4,0,0
7441,22.3,0,0
7446,22.9,0,0
7451,23.9,0,0
7456,24.9,0,0
7461,26.1,0,0
7466,27.3,0,0
7471,28.5,0,0
7476,29.9,0,0
7481,31.5,0,0
7486,33.3,0,0
7491,35.5,0,0
7496,37.7,0,0
7501,40.2,0,0
7506,43.1,0,0
7511,46.8,0,0
7516,51.1,0,0
7521,56.3,0,0
7526,62.6,0,0
7531,70.9,0,0
7536,82.5,0,0
7541,99.9,0,0
7546,78.3,0,0
7551,56.8,0,0
7556,0,0,0
7561,0,0,0
7566,0,0,0
7571,0,0,0
7576,0,0,0
7581,0,0,0
7586,0,0,0
7591,0,0,0
7596,0,0,0
